No.,図形名,文字,UCS,文字,代替変換区分
533,GJ000533,􀈔,,,3
534,GJ000534,􀈕,,,3
535,GJ000535,􀈖,,,3
536,GJ000536,􀈗,,,3
537,GJ000537,􀈘,,,3
538,GJ000538,􀈙,,,3
539,GJ000539,􀈚,,,3
540,GJ000540,􀈛,,,3
541,GJ000541,􀈜,U+304A,お,1
542,GJ000542,􀈝,U+3057,し,1
543,GJ000543,􀈞,U+3058,じ,1
544,GJ000544,􀈟,U+3059,す,1
545,GJ000545,􀈠,U+305F,た,1
546,GJ000546,􀈡,U+3064,つ,1
547,GJ000547,􀈢,U+3065,づ,1
548,GJ000548,􀈣,,,3
549,GJ000549,􀈤,,,3
550,GJ000550,􀈥,,,3
551,GJ000551,􀈦,,,3
552,GJ000552,􀈧,,,3
553,GJ000553,􀈨,,,3
554,GJ000554,􀈩,,,3
555,GJ000555,􀌇,U+309E,ゞ,1
556,GJ000556,􀌈,U+309E,ゞ,1
557,GJ000557,􀌋,U+982D,頭,1
558,GJ000558,􀌎,U+3061,ち,1
559,GJ000559,􀌏,U+3061,ち,1
560,GJ000560,􀌘,U+306E,の,1
561,GJ000561,􀌪,U+306E,の,1
562,GJ000562,􀌶,U+3075,ふ,1
563,GJ000563,􀌼,U+9AD8,高,1
564,GJ000564,􀍅,U+3075,ふ,1
565,GJ000565,􀍍,U+6587,文,1
566,GJ000566,􀍑,U+307E,ま,1
567,GJ000567,􀍚,U+3075,ふ,1
568,GJ000568,􀍜,U+308F,わ,1
569,GJ000569,􀍡,U+3092,を,1
570,GJ000570,􀍲,U+3057,し,2
571,GJ000571,􀎇,U+5F97,得,1
572,GJ000572,􀎖,U+307F,み,2
573,GJ000573,􀎗,U+305D,そ,2
574,GJ000574,􀏇,U+3080,む,2
575,GJ000575,􀏉,U+308F,わ,2
576,GJ000576,􀏌,U+3057,し,2
577,GJ000577,􀏍,U+4FEE,修,2
578,GJ000578,􀏎,U+306B,に,2
579,GJ000579,􀏏,U+304B,か,2
580,GJ000580,􀏑,U+5E78,幸,2
581,GJ000581,􀏒,U+307F,み,2
582,GJ000582,􀏓,U+30FF,ヿ,2
583,GJ000583,􀏔,U+96C4,雄,1
584,GJ000584,􀏖,U+53CB,友,1
585,GJ000585,􀏘,U+308A,り,2
586,GJ000586,􀏚,U+90CE,郎,2
587,GJ000587,􀏛,U+307F,み,2
588,GJ000588,􀏜,U+91CE,野,2
589,GJ000589,􀏝,U+3088,よ,2
590,GJ000590,􀏞,U+304B,か,2
591,GJ000591,􀏟,U+5C1E,尞,2
592,GJ000592,􀏢,U+308B,る,2
593,GJ000593,􀏣,U+5E38,常,1
594,GJ000594,􀏤,U+4EA5,亥,1
595,GJ000595,􀏥,U+3080,む,2
596,GJ000596,􀏫,U+8A18,記,2
597,GJ000597,􀏭,U+3059,す,2
598,GJ000598,􀏮,U+3059,す,2
599,GJ000599,􀏯,U+5EFA,建,2
600,GJ000600,􀏰,U+306E,の,2
601,GJ000601,􀐰,U+3081,め,2
602,GJ000602,􀑎,U+963C,阼,2
603,GJ000603,􀑏,U+3055,さ,2
604,GJ000604,􀑐,U+5EE3,廣,2
605,GJ000605,􀑑,U+507D,偽,2
606,GJ000606,􀑒,U+304D,き,2
607,GJ000607,􀑕,U+3042,あ,2
608,GJ000608,􀑤,U+3057,し,2
609,GJ000609,􀑥,U+9759,静,2
610,GJ000610,􀑧,U+7D00,紀,2
611,GJ000611,􀑬,U+3091,ゑ,2
612,GJ000612,􀑯,U+3072,ひ,2
613,GJ000613,􀑵,U+79A7,禧,1
614,GJ000614,􀒉,U+306F,は,2
615,GJ000615,􀒓,U+8A9E,語,2
616,GJ000616,􀒕,U+51AC,冬,2
617,GJ000617,􀒖,,,3
618,GJ000618,􀒚,U+3082,も,2
619,GJ000619,􀒛,U+309D,ゝ,1
620,GJ000620,􀒜,U+304B,か,2
621,GJ000621,􀒱,U+798F,福,2
